ingredient,ingredient_key,product_occurrences,egg,fish,milk,peanut,sesame,shellfish,soy,tree_nut,wheat,vegan,vegetarian,pescatarian,gluten_free,egg_safe_products,fish_safe_products,milk_safe_products,peanut_safe_products,sesame_safe_products,shellfish_safe_products,soy_safe_products,tree_nut_safe_products,wheat_safe_products,vegan_safe_products,vegetarian_safe_products,pescatarian_safe_products,gluten_free_safe_products,egg_violates_products,fish_violates_products,milk_violates_products,peanut_violates_products,sesame_violates_products,shellfish_violates_products,soy_violates_products,tree_nut_violates_products,wheat_violates_products,vegan_violates_products,vegetarian_violates_products,pescatarian_violates_products,gluten_free_violates_products
cold-pressed ginger juice,cold pressed ginger juice,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold-Pressed Lemon Juice (Certified Organic),cold pressed lemon juice,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,28,28,28,12,28,28,27,27,28,28,28,27,0,0,0,0,16,0,0,1,1,0,0,0,1
COLD-PRESSED ORANGE JUICE*,cold pressed orange juice,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleus Forskohlii Root Extract (20% Forskolin),coleus forskohlii root extract,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Collard,collard,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Collard Greens,collard greens,67,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,65,54,64,67,66,67,53,67,64,54,54,56,63,2,13,3,0,1,0,14,0,3,13,13,11,4
colloidal silicon dioxide,colloidal silicon dioxide,129,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,129,125,106,129,128,129,124,129,128,100,125,125,129,0,29,23,0,1,0,5,0,1,29,4,4,0
Colloidal Silicon Dioxide and Magnesium Stearate,colloidal silicon dioxide and magnesium stearate,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,38,17,38,38,38,38,36,38,38,17,17,17,38,0,21,0,0,0,0,2,0,0,21,21,21,0
Colloidal Silicon Dioxide and Modified Cellulose Gum,colloidal silicon dioxide and modified cellulose gum,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombian,colombian,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombian Arabica Coffee,colombian arabica coffee,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombian Coffee,colombian coffee,61,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,60,60,29,61,61,61,61,58,61,29,60,60,61,1,32,32,0,0,0,0,3,0,32,1,1,0
COLOR (PAPRIKA AND TURMERIC EXTRACT),color,1743,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1397,1416,1028,1700,1715,1733,921,1504,1026,723,1416,1428,1024,346,1020,715,43,28,10,822,239,717,1020,327,315,719
COLOR ADDED,color added,2412,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1934,1665,1019,2321,2245,2358,1201,2147,1448,438,1665,1724,1454,478,1974,1393,91,167,54,1211,265,964,1974,747,688,958
Colorants,colorants,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,11,10,12,12,12,10,12,10,9,11,11,10,0,3,2,0,0,0,2,0,2,3,1,1,2
Colored With (caramel Color),colored with,254,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,142,207,107,234,238,254,37,152,52,58,207,207,53,112,196,147,20,16,0,217,102,202,196,47,47,201
Colored with Caramel,colored with caramel,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,9,9,10,10,10,9,9,9,8,9,9,9,0,2,1,0,0,0,1,1,1,2,1,1,1
colored with concentrate (black carrot),colored with concentrate,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,17,21,21,21,21,21,19,21,17,17,17,21,0,4,0,0,0,0,0,2,0,4,4,4,0
"Colored with Fruit and Vegetable Concentrates (Carrot, Blueberry, Blackcurrant)",colored with fruit and vegetable concentrates,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
COLORED WITH FRUIT AND VEGETABLE JUICE,colored with fruit and vegetable juice,25,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,25,8,25,25,25,25,25,25,8,8,8,8,25,0,17,0,0,0,0,0,0,17,17,17,17,0
Colored with Fruit Juice,colored with fruit juice,43,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,43,13,20,43,43,43,43,43,33,10,13,34,42,0,33,23,0,0,0,0,0,10,33,30,9,1
Colored with Pear Juice Concentrate,colored with pear juice concentrate,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Colored with Red Cabbage,colored with red cabbage,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,6,7,7,7,7,7,7,7,6,6,6,7,0,1,0,0,0,0,0,0,0,1,1,1,0
"Colored With Vegetable Extracts (Red Cabbage, Turmeric)",colored with vegetable extracts,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,10,11,11,10,11,8,11,8,10,10,10,8,0,1,0,0,1,0,3,0,3,1,1,1,3
Colored with Vegetable Juice,colored with vegetable juice,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,13,12,19,19,19,17,18,14,10,13,17,17,1,9,7,0,0,0,2,1,5,9,6,2,2
Coloring,coloring,521,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,401,411,183,388,514,519,149,438,376,94,411,413,366,120,427,338,133,7,2,372,83,145,427,110,108,155
"Colors (Carmine, FD&C Red 40)",colors,1385,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1146,916,855,1229,1378,1384,755,1195,1080,385,916,918,1074,239,1000,530,156,7,1,630,190,305,1000,469,467,311
Colors Added,colors added,292,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,290,140,248,288,291,292,213,241,262,89,140,140,271,2,203,44,4,1,0,79,51,30,203,152,152,21
Colors Added: Red 40,colors added red 40,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,6,15,18,18,18,18,18,12,6,6,6,12,0,12,3,0,0,0,0,0,6,12,12,12,6
colors from fruits and vegetables,colors from fruits and vegetables,34,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,34,9,34,34,34,34,34,25,34,9,9,9,34,0,25,0,0,0,0,0,9,0,25,25,25,0
Colour (Ammonia Caramel),colour,475,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,433,432,344,471,462,472,327,421,324,298,432,436,320,42,177,131,4,13,3,148,54,151,177,43,39,155
"Colours (102, 129)",colours,176,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,158,130,126,172,174,175,129,147,132,84,130,130,136,18,92,50,4,2,1,47,29,44,92,46,46,40
Comino,comino,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,12,16,17,17,17,16,17,16,12,12,12,16,0,5,1,0,0,0,1,0,1,5,5,5,1
Concentrate,concentrate,67,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,58,57,44,66,66,65,47,53,55,38,57,59,55,9,29,23,1,1,2,20,14,12,29,10,8,12
CONCENTRATED APPLE JUICE,concentrated apple juice,195,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,186,166,171,187,193,195,166,165,160,142,166,166,159,9,53,24,8,2,0,29,30,35,53,29,29,36
Concentrated Apple Puree,concentrated apple puree,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,11,11,11,12,12,8,6,11,10,11,11,10,0,2,1,1,0,0,4,6,1,2,1,1,2
Concentrated carrot juice,concentrated carrot juice,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,10,9,12,12,12,12,12,9,7,10,10,9,1,5,3,0,0,0,0,0,3,5,2,2,3
Concentrated Cherry Juice,concentrated cherry juice,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,6,6,7,7,7,6,7,6,6,6,6,6,0,1,1,0,0,0,1,0,1,1,1,1,1
Concentrated Chili Extract,concentrated chili extract,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,17,21,21,21,21,21,21,13,17,17,17,13,0,4,0,0,0,0,0,0,8,4,4,4,8
CONCENTRATED CRUSHED TOMATOES,concentrated crushed tomatoes,113,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,112,80,80,113,111,113,88,106,94,64,80,80,94,1,49,33,0,2,0,25,7,19,49,33,33,19
concentrated elderberry juice,concentrated elderberry juice,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,6,8,8,8,6,7,8,8,8,8,0,0,0,2,0,0,0,2,1,0,0,0,0
Concentrated Fruit Juice,concentrated fruit juice,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,9,8,17,17,17,15,15,15,7,9,16,15,1,10,9,0,0,0,2,2,2,10,8,1,2
CONCENTRATED GRAPE JUICE,concentrated grape juice,81,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,78,66,80,80,81,81,79,68,73,63,66,66,73,3,18,1,1,0,0,2,13,8,18,15,15,8
Concentrated Grape Must,concentrated grape must,133,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,133,132,132,133,133,133,133,133,133,132,132,132,133,0,1,1,0,0,0,0,0,0,1,1,1,0
Concentrated Grapefruit Juice,concentrated grapefruit juice,65,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0
CONCENTRATED LEMON JUICE,concentrated lemon juice,572,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,444,499,409,563,526,569,457,514,438,341,499,528,437,128,231,163,9,46,3,115,58,134,231,73,44,135
Concentrated Lime Juice,concentrated lime juice,108,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,102,102,83,107,104,106,101,99,103,78,102,104,102,6,30,25,1,4,2,7,9,5,30,6,4,6
Concentrated Mango Puree,concentrated mango puree,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,10,9,10,9,10,8,9,8,8,10,10,8,2,2,1,0,1,0,2,1,2,2,0,0,2
CONCENTRATED ORANGE JUICE,concentrated orange juice,279,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,274,274,239,279,277,279,268,278,272,231,274,274,271,5,48,40,0,2,0,11,1,7,48,5,5,8
Concentrated Organic Grape Juice,concentrated organic grape juice,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Concentrated Passion Fruit Juice,concentrated passion fruit juice,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,13,12,13,13,13,12,12,12,12,13,13,12,1,1,1,0,0,0,1,1,1,1,0,0,1
concentrated pear juice,concentrated pear juice,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,38,38,36,38,38,38,37,38,38,35,38,38,38,0,3,2,0,0,0,1,0,0,3,0,0,0
CONCENTRATED PINEAPPLE JUICE,concentrated pineapple juice,67,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,57,53,53,65,64,66,54,59,52,38,53,54,51,10,29,14,2,3,1,13,8,15,29,14,13,16
concentrated pomegranate juice,concentrated pomegranate juice,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,12,9,13,13,13,13,13,13,9,12,13,13,0,4,4,0,0,0,0,0,0,4,1,0,0
Concentrated purple carrot juice,concentrated purple carrot juice,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CONCENTRATED RASPBERRY JUICE,concentrated raspberry juice,32,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,30,32,20,32,32,32,28,32,30,19,32,32,30,2,13,12,0,0,0,4,0,2,13,0,0,2
Concentrated Strawberry Juice,concentrated strawberry juice,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,20,23,30,31,31,23,25,28,11,20,20,29,3,20,8,1,0,0,8,6,3,20,11,11,2
Concentrated Tangerine Juice,concentrated tangerine juice,37,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,37,37,37,37,37,37,37,37,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Concentrated Tomato Juice,concentrated tomato juice,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Concentrated Tomato Paste,concentrated tomato paste,25,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,17,17,25,25,25,19,22,19,12,17,21,19,1,13,8,0,0,0,6,3,6,13,8,4,6
CONCENTRATED WHITE GRAPE JUICE,concentrated white grape juice,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"concentrates (carrot, blackcurrant, safflower)",concentrates,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,11,15,15,15,15,15,13,13,10,11,11,13,0,5,0,0,0,0,0,2,2,5,4,4,2
Concord Grape,concord grape,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,12,13,13,13,13,13,12,12,12,12,12,11,0,1,0,0,0,0,0,1,1,1,1,1,2
"Concord Grape Juice (Water, Concord Grape Juice Concentrate)",concord grape juice,75,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,75,74,75,75,75,75,75,74,75,74,74,74,75,0,1,0,0,0,0,0,1,0,1,1,1,0
Concord Grape Juice Concentrate,concord grape juice concentrate,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,17,16,17,17,17,17,15,17,16,17,17,17,0,1,1,0,0,0,0,2,0,1,0,0,0
"CONCORD GRAPE JUICE FROM CONCENTRATE (WATER, CONCORD GRAPE JUICE CONCENTRATE)",concord grape juice from concentrate,54,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,54,24,52,53,54,54,51,24,53,24,24,24,53,0,30,2,1,0,0,3,30,1,30,30,30,1
CONCORD GRAPE PUREE,concord grape puree,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Concord Grapes,concord grapes,32,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFECTIONER'S GLAZE,confectioner s glaze,1992,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1590,1814,1098,1811,1943,1992,762,1579,1332,12,1814,1814,1308,402,1980,894,181,49,0,1230,413,660,1980,178,178,684
"Confectioner's Sugar (Sugar, Corn Starch)",confectioner s sugar,111,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,36,111,17,107,111,111,31,84,36,13,111,111,36,75,98,94,4,0,0,80,27,75,98,0,0,75
"Confectioners' Sugar (Cane Sugar, Cornstarch)",confectioners sugar,134,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,25,133,44,119,123,134,70,110,45,12,133,133,45,109,122,90,15,11,0,64,24,89,122,1,1,89
Conjugated Linoleic Acid,conjugated linoleic acid,25,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,25,15,25,25,25,25,24,25,25,15,15,15,25,0,10,0,0,0,0,1,0,0,10,10,10,0
CONTAINS 0.5% OR LESS OF DEHYDRATED LIME JUICE,contains 0 5 or less of dehydrated lime juice,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Contains 1 Percent or Less of Each of the Following: Citric Acid,contains 1 percent or less of each of the following citric acid,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Contains 1% or Less of Citric Acid,contains 1 or less of citric acid,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,31,27,26,31,31,31,28,29,31,23,27,30,31,0,8,5,0,0,0,3,2,0,8,4,1,0
Contains 1% or Less of Natural and Artificial Flavor,contains 1 or less of natural and artificial flavor,48,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,48,37,40,48,48,48,11,45,47,29,37,37,47,0,19,8,0,0,0,37,3,1,19,11,11,1
Contains 1% or Less of Natural and Artificial Flavors,contains 1 or less of natural and artificial flavors,25,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,25,25,9,25,25,25,20,16,23,9,25,25,23,0,16,16,0,0,0,5,9,2,16,0,0,2
Contains 1% or Less of Natural Flavors,contains 1 or less of natural flavors,86,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,73,86,19,78,86,86,56,59,71,19,86,86,71,13,67,67,8,0,0,30,27,15,67,0,0,15
Contains 1% or Less of Onion,contains 1 or less of onion,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,6,7,7,7,6,7,6,6,7,7,6,0,1,1,0,0,0,1,0,1,1,0,0,1
CONTAINS 1% OR LESS OF SALT,contains 1 or less of salt,61,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,58,56,49,27,61,61,45,55,51,45,56,56,51,3,16,12,34,0,0,16,6,10,16,5,5,10
Contains 1% or Less of: Disodium Phosphate,contains 1 or less of disodium phosphate,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTAINS 1% OR LESS OF: GELLAN GUM,contains 1 or less of gellan gum,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,20,20,20,20,20,18,7,20,20,20,20,20,0,0,0,0,0,0,2,13,0,0,0,0,0
CONTAINS 2% OR LESS OF,contains 2 or less of,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,35,28,20,38,39,41,16,39,22,8,28,28,22,6,33,21,3,2,0,25,2,19,33,13,13,19
Contains 2% or Less of Calcium Carbonate,contains 2 or less of calcium carbonate,64,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,58,58,13,41,64,64,7,35,15,13,58,58,14,6,51,51,23,0,0,57,29,49,51,6,6,50
Contains 2% or Less of Cane Sugar,contains 2 or less of cane sugar,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,31,24,24,31,24,31,16,26,16,21,24,24,16,0,10,7,0,7,0,15,5,15,10,7,7,15
CONTAINS 2% OR LESS OF CARNAUBA WAX,contains 2 or less of carnauba wax,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTAINS 2% OR LESS OF CORN SYRUP,contains 2 or less of corn syrup,215,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,182,124,119,194,214,215,104,191,81,50,124,124,80,33,165,96,21,1,0,111,24,134,165,91,91,135
CONTAINS 2% OR LESS OF DEXTROSE,contains 2 or less of dextrose,451,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,420,190,340,441,443,451,300,439,296,130,190,191,293,31,321,111,10,8,0,151,12,155,321,261,260,158
CONTAINS 2% OR LESS OF DISODIUM PHOSPHATE,contains 2 or less of disodium phosphate,62,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,62,62,12,62,62,62,58,60,62,12,62,62,62,0,50,50,0,0,0,4,2,0,50,0,0,0
Contains 2% or Less of Each of the Following: Corn Starch,contains 2 or less of each of the following corn starch,46,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,46,18,45,46,46,6,46,10,18,46,46,10,28,28,28,1,0,0,40,0,36,28,0,0,36
CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: NATURAL FLAVOR,contains 2 or less of each of the following natural flavor,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,10,14,14,14,9,14,8,10,14,14,8,0,4,4,0,0,0,5,0,6,4,0,0,6
CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING:SALT,contains 2 or less of each of the following salt,264,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,248,231,209,260,232,263,89,252,66,181,231,233,66,16,83,55,4,32,1,175,12,198,83,33,31,198
Contains 2% Or Less Of Each: Salt,contains 2 or less of each salt,68,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,48,51,38,68,66,68,37,68,38,26,51,56,38,20,42,30,0,2,0,31,0,30,42,17,12,30
Contains 2% or Less of Each: Sea Salt,contains 2 or less of each sea salt,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,9,8,9,7,9,6,7,8,8,6,1,2,1,0,1,0,2,0,3,2,1,1,3
Contains 2% or less of each: Water,contains 2 or less of each water,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,13,9,19,18,19,6,19,10,6,13,13,10,7,13,10,0,1,0,13,0,9,13,6,6,9
Contains 2% or Less of Garlic,contains 2 or less of garlic,79,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,64,57,58,79,69,77,42,75,63,43,57,58,63,15,36,21,0,10,2,37,4,16,36,22,21,16
Contains 2% or Less of Garlic Powder,contains 2 or less of garlic powder,30,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,16,19,29,29,27,19,26,23,11,16,19,23,2,19,11,1,1,3,11,4,7,19,14,11,7
Contains 2% or less of Gum Arabic,contains 2 or less of gum arabic,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,34,12,30,33,33,35,23,27,28,7,12,12,28,1,28,5,2,2,0,12,8,7,28,23,23,7
contains 2% or less of high fructose corn syrup,contains 2 or less of high fructose corn syrup,109,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,95,104,52,101,109,109,10,98,14,50,104,104,14,14,59,57,8,0,0,99,11,95,59,5,5,95
CONTAINS 2% OR LESS OF JALAPENO PEPPERS,contains 2 or less of jalapeno peppers,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,6,10,10,11,7,9,9,6,9,9,9,2,5,5,1,1,0,4,2,2,5,2,2,2
Contains 2% or Less of Lime Juice,contains 2 or less of lime juice,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,11,8,13,13,13,12,13,12,8,11,11,12,0,5,5,0,0,0,1,0,1,5,2,2,1
Contains 2% or Less of Maltodextrin,contains 2 or less of maltodextrin,97,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,88,76,42,96,97,96,36,88,50,39,76,76,49,9,58,55,1,0,1,61,9,47,58,21,21,48
CONTAINS 2% OR LESS OF ONION,contains 2 or less of onion,27,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,16,15,27,23,25,7,26,14,10,16,18,14,7,17,12,0,4,2,20,1,13,17,11,9,13
Contains 2% or Less of Orange Juice Concentrate,contains 2 or less of orange juice concentrate,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,10,7,11,11,11,10,11,11,6,10,10,11,0,5,4,0,0,0,1,0,0,5,1,1,0
contains 2% or less of pectin,contains 2 or less of pectin,42,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,42,41,35,25,42,42,25,33,25,34,41,41,25,0,8,7,17,0,0,17,9,17,8,1,1,17
CONTAINS 2% OR LESS OF POTASSIUM SORBATE,contains 2 or less of potassium sorbate,29,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
Contains 2% or Less of Potato Starch,contains 2 or less of potato starch,26,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,21,18,16,23,24,26,8,22,18,10,18,18,18,5,16,10,3,2,0,18,4,8,16,8,8,8
CONTAINS 2% OR LESS OF SALT,contains 2 or less of salt,3075,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,2817,1935,1954,2872,2972,3056,1386,2911,1445,1006,1935,1986,1402,258,2069,1121,203,103,19,1689,164,1630,2069,1140,1089,1673
CONTAINS 2% OR LESS OF SEA SALT,contains 2 or less of sea salt,349,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,343,118,304,325,337,347,252,331,245,91,118,121,244,6,258,45,24,12,2,97,18,104,258,231,228,105
Contains 2% or Less of Sodium Citrate (Controls Acidity),contains 2 or less of sodium citrate,53,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,53,9,49,53,53,53,53,53,53,6,9,9,53,0,47,4,0,0,0,0,0,0,47,44,44,0
Contains 2% or Less of Sodium Lactate,contains 2 or less of sodium lactate,114,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,105,16,94,110,114,114,79,112,92,12,16,16,89,9,102,20,4,0,0,35,2,22,102,98,98,25
