priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1790,caramel sauce,caramel sauce,15,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"caramel sauce (corn syrup, sweetened condensed skim milk condensed skim milk, sugar, corn syrup , water, cream, modified corn starch, butter, sugar, salt, gellan gum, mono and diglycerides, colored with artificial color, yellow 5, yellow 6 , potassium sorbate preservative , artificial flavor, xanthan gum, baking soda) (8) | caramel sauce (corn syrup, sweetened condensed skim milk condensed skim milk, sugar, corn syrup , water, cream, modified corn starch, butter, sugar, salt, gellan gum, mono and diglycerides, colored with artificial color, yellow 5, yellow 6 , potassium sorbate preservative , artificial flavor, xanthan gum, sodium bicarbonate, sulfiting agents) (3) | caramel sauce (sugar, corn syrup, sweetened condensed skim milk skim milk, sugar , water, palm oil, whey, heavy cream, food starch-modified (3) | caramel sauce (1)",usda_only_train:8 | usda_only_val:6 | usda_only_holdout:1,,
1790,white flour tortilla,white flour tortilla,14,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"white flour tortilla (enriched flour wheat flour, niacin (vitamin b3), reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid (vitamin b9), malted barley flour , water, sunflower oil (14)",usda_only_train:11 | usda_only_holdout:2 | usda_only_val:1,,
1790,garlic sauce,garlic sauce,13,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"garlic sauce (labna cultured pasteurized skim milk, heavy cream, pectin , palm oil, water, garlic puree garlic, citric acid ,.00% , dextrose, spices, onion powder, garlic powder, and less than 2% tricalcium phosphate added as anticaking agent) (5) | garlic sauce (garlic spread, canola oil, garlic (4) | garlic sauce (butter alternative oil (liquid and hydrogenated soybean oil (3) | organic garlic sauce (water, organic half and half organic cream, organic milk , organic natural flavor (1)",usda_only_train:9 | usda_only_val:2 | usda_only_holdout:2,,
1790,natural egg flavor,natural egg flavor,13,no,egg,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | review:ambiguous_generic,natural egg flavor (13),usda_only_train:10 | usda_only_val:2 | usda_only_holdout:1,,
1790,palm oil with natural butter flavor,palm oil with natural butter flavor,13,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,palm oil with natural butter flavor (13),usda_only_train:10 | usda_only_val:2 | usda_only_holdout:1,,
1790,preservative free white flour tortilla,preservative-free white flour tortilla,13,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"preservative-free white flour tortilla (unbleached wheat flour wheat flour, vitamin c, enzymes, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, canola oil (13)",usda_only_train:8 | usda_only_holdout:4 | usda_only_val:1,,
1790,creamy herb sauce,creamy herb sauce,12,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"creamy herb sauce (water, milk, cream, modified corn starch, vegetables carrot, onion, celery (12)",usda_only_train:8 | usda_only_val:2 | usda_only_holdout:2,,
1790,natural butter type flavor,natural butter type flavor,11,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,natural butter type flavor (11),usda_only_train:6 | usda_only_val:3 | usda_only_holdout:2,,
1790,natural butter and cheese flavor,natural butter and cheese flavor,10,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,natural butter and cheese flavor (10),usda_only_train:4 | usda_only_val:3 | usda_only_holdout:3,,
1790,parmesan cheese flavor,parmesan cheese flavor,10,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,"parmesan cheese flavor (parmesan cheese pasteurized milk, cultures, salt, enzymes , water, salt, disodium phosphate, sodium citrate) (4) | parmesan cheese flavor (parmesan cheese pasteurized milk, salt, cultures, enzymes) (4) | parmesan cheese flavor (a dehydrated blend of parmesan cheese part-skim milk, cheese culture, salt, enzymes , whey, buttermilk solids, sodium phosphate, salt) (2)",usda_only_train:6 | usda_only_val:3 | usda_only_holdout:1,,
1790,stroganoff sauce,stroganoff sauce,10,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"stroganoff sauce (gravy water, mushroom, wine (6) | stroganoff sauce (water, sour cream cultured milk, cream, whey protein concentrate (4)",usda_only_train:7 | usda_only_holdout:2 | usda_only_val:1,,
1790,artificial sour cream flavor,artificial sour cream flavor,9,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,artificial sour cream flavor (9),usda_only_train:6 | usda_only_val:3,,
1790,blended corn tortilla,blended corn tortilla,9,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"blended corn tortilla (water, wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , corn masa flour (yellow corn masa flour, trace of lime , canola oil, palm oil, wheat gluten (4) | blended corn tortilla (water, wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), corn masa flour stone ground yellow corn masa flour, trace of lime , expeller pressed canola oil, palm oil, wheat gluten (3) | blended corn tortilla (water, wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , corn masa flour stone ground yellow corn masa flour, trace of lime , expeller pressed canola oil, palm oil, wheat gluten (2)",usda_only_train:5 | usda_only_val:3 | usda_only_holdout:1,,
1790,broccoli cheese sauce,broccoli cheese sauce,9,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:product_style,"broccoli cheese sauce (water, velveeta cheese milk, whey, skim milk, milk protein concentrate, whey protein concentrate, milkfat, sodium phosphate, (potato starch and powdered cellulose to prevent caking , natamycin a natural mold inhibitor ) (5) | broccoli cheese sauce (water, velveeta cheese (milk, whey, skim milk, milk protein concentrate, whey protein concentrate, milkfat, sodium phosphate (4)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:2,,
1790,buffalo wing sauce,buffalo wing sauce,9,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"buffalo wing sauce (distilled vinegar, cayenne red peppers, salt, water, canola oil, paprika, xanthan gum, buttertype flavor, garlic powder) (5) | buffalo wing sauce (distilled vinegar, aged cayenne red peppers, salt, water, canola oil, paprika, xanthan gum, sodium benzoate as preservative , natural butter type flavor, garlic powder) (4)",usda_only_train:5 | usda_only_val:3 | usda_only_holdout:1,,
1790,cocoa cookie mix,cocoa cookie mix,9,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"cocoa cookie mix (sugar, wheat flour, cocoa processed with alkali, palm oil (6) | cocoa cookie mix (sugar, wheat flour, cocoa processed with alkali, palm oil, filling (sugar, water, palm oil, corn syrup, nonfat dry milk, canola oil, sprinkles and cookies (sprinkles sugar, hydrogenated palm kernel oil, corn starch, sunflower lecithin, maltodextrin, carnauba wax, vanillin, cellulose gum , cookies sugar, enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , palm oil, soybean oil, cocoa processed with alkali, invert sugar (3)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:2,,
1790,alfredo sauce mix,alfredo sauce mix,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"alfredo sauce mix (maltodextrin, palm oil powder palm oil, lactose, sodium caseinate, potassium phosphate, sodium silicoaluminate , salt, cornstarch, nonfat dry milk, sodium citrate (8)",usda_only_train:5 | usda_only_holdout:2 | usda_only_val:1,,
1790,butter toffee flavor,butter toffee flavor,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,butter toffee flavor (8),usda_only_train:6 | usda_only_val:1 | usda_only_holdout:1,,
1790,cheddar broccoli sauce mix,cheddar broccoli sauce mix,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"cheddar broccoli sauce mix (cornstarch, dry whole milk, salt, sodium citrate, dehydrated broccoli, natural flavors, hydrolyzed corn protein, potassium chloride, onion powder (8)",usda_only_train:5 | usda_only_val:3,,
1790,fudge sauce,fudge sauce,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"fudge sauce (water, sweetened condensed skim milk skim milk, sugar, corn syrup , sugar, fructose, partially hydrogenated palm kernel oil, cocoa, corn starch, buttermilk, cocoa processed with alkali, butter, whey, salt, sodium alginate, natural and artificial flavor, potassium sorbate preservative , artificial color, mono and diglycerides, xanthan gum, sodium bicarbonate) (8)",usda_only_train:5 | usda_only_val:3,,
1790,garlic parmesan sauce,garlic parmesan sauce,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | evidence:surface_form | review:product_style | review:surface_form_composite,"garlic parmesan sauce (water, cheese powder milk, salt, cheese cultures, enzymes , milk, sunflower oil, vinegar, grated parmesan cheese milk, salt, cheese cultures, enzymes , canola oil, granulated garlic, cornstarch, salt (6) | garlic parmesan sauce (water, soybean oil, vinegar, corn syrup, parmesan cheese milk, culture, salt, enzymes , garlic, salt, nonfat dry milk, whey protein concentrate, 2% or less spices, modified food starch, sugar, garlic powder, lemon juice, lactic acid, onion powder, xanthan gum) (2)",usda_only_train:3 | usda_only_holdout:3 | usda_only_val:2,,
1790,natural asiago cheese flavor,natural asiago cheese flavor,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,natural asiago cheese flavor (8),usda_only_train:7 | usda_only_val:1,,
1790,natural bleu cheese flavor,natural bleu cheese flavor,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,"natural bleu cheese flavor (maltodextrin, whey solids, natural flavor, salt) (8)",usda_only_train:5 | usda_only_val:2 | usda_only_holdout:1,,
1790,natural parmesan cheese flavor,natural parmesan cheese flavor,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:ambiguous_generic,natural parmesan cheese flavor (8),usda_only_train:7 | usda_only_val:1,,
1790,restricted melt cheese sauce,restricted melt cheese sauce,8,no,milk,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | review:product_style,"pasteurized restricted melt cheese sauce (cheddar cheese pasteurized milk, cheese culture, salt, enzymes , water, milkfat, whey, enzyme modified cheese pasteurized milk, water, sodium phosphate, milkfat, salt, cheese culture, enzymes , sodium phosphate, modified food starch, salt, lactic acid, sodium alginate, sorbic acid as a preservative) (8)",usda_only_train:4 | usda_only_val:2 | usda_only_holdout:2,,
1790,rosemary and olive oil focaccia roll,rosemary and olive oil focaccia roll,8,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"rosemary and olive oil focaccia roll (enriched flour wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, extra virgin olive oil, sour culture, roasted garlic, salt, yeast, rosemary, semolina, cultured wheat starch preservative , olive oil, organic whole wheat flour, enzymes) (8)",usda_only_train:5 | usda_only_holdout:2 | usda_only_val:1,,
1790,spice mix flour,spice mix flour,8,no,wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,diet_block:gluten_free | evidence:surface_form | review:ambiguous_generic,"spice mix flour (unbleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin and folic acid) (8)",usda_only_train:6 | usda_only_val:2,,
1780,cheddar cheese sauce,cheddar cheese sauce,98,no,milk | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"cheddar cheese sauce: (whey, granular and cheddar cheese milk, cheese culture, salt, enzymes , whey protein concentrate, salt (10) | cheddar cheese sauce (cheddar cheese milk, cheese culture, salt, enzymes , water, whey, canola oil, sodium phosphate (10) | cheddar cheese sauce (cheddar cheese milk, cheese culture, salt, enzymes , skim milk, whey, canola oil, sodium phosphate, whey protein concentrate, water, salt (9) | cheddar cheese sauce (whey, granular and cheddar cheese milk, cheese culture, salt, enzymes , whey protein concentrate, salt (8) | cheddar cheese sauce (water, aged cheddar cheese cultured milk, salt, enzymes, annatto color , soybean oil, modified corn starch, sodium phosphate, salt, cellulose gum, mono and diglycerides, spice, yeast extract, annatto color) (7)",usda_only_train:69 | usda_only_val:17 | usda_only_holdout:12,,
1780,butter flavor,butter flavor,95,no,milk,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:milk | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"butter flavor (53) | butter flavor (. beef frank: beef, water (7) | butter flavor (. toppings: part skim mozzarella cheese (pasteurized part skim milk, cultures, salt, enzymes), pizza sauce (water, tomato paste, sugar, salt, modified food starch, natural parmesan cheese flavor cheese pasteurized milk, cultures, salt, enzymes , water, disodium phosphate , garlic puree, garlic powder, onion powder, citric acid, oregano, basil, black pepper, cayenne pepper), pepperoni (pork and beef, salt, flavorings, lactic acid starter culture, oleoresin of paprika, sodium nitrite, bha, bht, citric acid to protect flavor (7) | butter flavor (. toppings: pizza sauce (water, tomato paste, sugar, salt, modified food starch, natural parmesan cheese flavor cheese pasteurized milk, cultures, salt, enzymes , water, disodium phosphate , garlic puree, garlic powder, onion powder, citric acid, oregano, basil, black pepper, cayenne pepper), part skim mozzarella cheese (pasteurized part skim milk, cultures, salt, enzymes), provolone cheese (pasteurized milk, cultures, salt, enzymes), pepperoni (pork, beef, salt, flavorings, lactic acid starter culture, oleoresin of paprika, sodium nitrite, bha, bht, citric acid to protect flavor (7) | butter flavor (. toppings: part skim mozzarella cheese (pasteurized part skim milk, cultures, salt, enzymes), pizza sauce (water, tomato paste, sugar, salt, modified food starch, natural parmesan cheese flavor cheese pasteurized milk, cultures, salt, enzymes , water, disodium phosphate , garlic puree, garlic powder, onion powder, citric acid, oregano, basil, black pepper, cayenne pepper), cooked sausage (pork, water, salt, spices, sugar, sodium phosphates, flavorings), pepperoni (pork, beef, salt, flavorings, lactic acid starter culture, oleoresin of paprika, sodium nitrite, bha, bht, citric acid to protect flavor (7)",usda_only_train:56 | usda_only_val:23 | usda_only_holdout:16,,
1780,cracker,cracker,73,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"crackers (enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , high oleic sunflower oil, sugar, salt (28) | crackers (enriched flour wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , sugar, soybean and palm oil with tbhq , high fructose corn syrup (14) | crackers (enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , high oleic sunflower oil, sugar, salt (12) | crackers (enriched flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , palm oil, sugar, salt, baking soda, whey from milk , soy lecithin, natural flavor) (6) | crackers (enriched wheat flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), high oleic sunflower oil, sugar, salt (4)",usda_only_train:50 | usda_only_val:14 | usda_only_holdout:9,,
1780,beef flavor,beef flavor,66,no,soy,Gluten-free,Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"beef flavor (23) | beef flavor (partially hydrogenated soybean oil, beef fat, natural flavor) (17) | beef flavor (hydrolyzed corn protein, salt, natural and artificial beef flavor with butterfat , autolyzed yeast extract, hydrolyzed soy protein, partially hydrogenated soybean oil, lactic acid, dextrose, calcium lactate, beef fat, onion powder, caramel color, disodium inosinate, disodium guanylate) (8) | beef flavor (natural flavor, salt, beef fat) (6) | beef flavor (hydrolyzed soy protein, autolyzed yeast extract, monosodium glutamate, dextrose, disodium inosinate and disodium guanylate, partially hydrogenated soybean and/or cottonseed oil) (5)",usda_only_train:41 | usda_only_val:15 | usda_only_holdout:9 | openfoodfacts_targeted:1,,
1780,cookie,cookie,42,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"cookie (bleached wheat flour, sugar, palm oil, caramel color, dextrose (14) | cookie (unbleached wheat flour (wheat flour enriched with niacin, iron, thiamine mononitrate, riboflavin, and folic acid), sugar, palm oil, high fructose corn syrup, cocoa processed with alkali, water, molasses (5) | cookie (enriched wheat flour (wheat flour, niacin, reduced iron, thiamine, riboflavin, folic acid), sugar, palm oil, cocoa processed with alkali (4) | cookie ((bleached enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, vegetable shortening (palm oil), dextrose, corn syrup solids, dried whole eggs (4) | cookie (sugar, enriched bleached flour wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , water, palm oil, corn syrup, corn syrup solids, soybean oil, cornstarch (4)",usda_only_train:26 | usda_only_val:10 | usda_only_holdout:6,,
1780,sandwich cookie,sandwich cookie,37,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"sandwich cookie (sugar, enriched flour bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , canola and/or soybean with tbhq and/or palm oil, dextrose, cocoa processed with alkali , peppermint flavored powder sugar, corn syrup, titanium dioxide color , natural flavor, red 40 , corn starch, 2% or less of: high fructose corn syrup, salt, leavening baking soda, calcium phosphate , soy lecithin, natural and artificial flavor) (24) | sandwich cookie (sugar, enriched flour bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , canola and/or soybean with tbhq and/or palm oil, dextrose, cocoa processed with alkali , peppermint powder sugar, corn syrup, titanium dioxide artificial color , natural flavor, red 40 , cornstarch (5) | sandwich cookie (sugar, enriched wheat flour bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , canola and/or soybean with tbhq and/or palm oil, dextrose, cocoa processed with alkali , peppermint flavored powder sugar, corn syrup, titanium dioxide color , natural flavor, red 40 , corn starch, 2% or less of: high fructose corn syrup, salt, leavening baking soda, calcium phosphate , soy lecithin, natural and artificial flavor) (4) | sandwich cookie (sugar, enriched flour (bleached wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), palm and/or soybean oil with tbhq added , cocoa (processed with alkali), high fructose corn syrup (3) | sandwich cookie (sugar, enriched flour bleached wheat flour, iron, thiamin mononitrate, riboflavin, folic acid , palm oil and/or soybean oil with tbhq added , cocoa processed with alkali, high fructose corn syrup (1)",usda_only_train:24 | usda_only_holdout:7 | usda_only_val:6,,
1780,cookie mix,cookie mix,28,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"cookie mix (wheat flour, sugar, brown sugar, unsweetened chocolate, palm oil, cocoa butter (8) | cookie mix (enriched flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , brown sugar sugar, molasses , non hydrogenated vegetable oils canola and palm , sugar, salt, dextrose, baking soda, silicon dioxide, sodium aluminum phosphate, corn starch, monocalcium phosphate, caramel color, artificial flavor, propylene glycol, glycerin) (7) | cookie mix (wheat flour, sugar, brown sugar, unsweetened chocolate, palm oil, cocoa butter, filling (sugar, brown sugar, enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , water, palm oil, semi-sweet chocolate chips sugar, unsweetened chocolate, cocoa butter, soy lecithin, vanilla extract , canola oil, sprinkles (sugar, hydrogenated palm kernel oil, corn starch, sunflower lecithin, yellow 6 lake, yellow 5 lake, blue 1 lake, red 40 lake, red 3 dye, maltodextrin, carnauba wax, vanillin, cellulose gum) (4) | cookie mix (enriched wheat flour wheat flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , brown sugar, sugar, soybean oil, dehydrated whole egg, salt, natural flavor, sodium bicarbonate) (3) | cookie mix (wheat flour, sugar, brown sugar, unsweetened chocolate, palm oil, cocoa butter, frosting (sugar, water, palm oil, corn syrup, canola oil, sprinkles (sugar, rice flour, vegetable oil palm kernel, palm , corn starch, gum arabic, cellulose gum, carrageenan, confectioner's glaze, yellow 6, soy lecithin, red 40, yellow 5, blue 1, artificial flavor, blue 2) (3)",usda_only_train:23 | usda_only_val:4 | usda_only_holdout:1,,
1780,orange sauce,orange sauce,27,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"orange sauce (water, high fructose corn syrup, sucrose, distilled vinegar, modified food starch, red bell peppers, salt, orange juice concentrate, dehydrated garlic, garlic, soybean oil, guajillo peppers, xanthan gum, garlic powder, sodium benzoate and potassium sorbate preservatives , natural and artificial orange flavor, spices, dehydrated red bell peppers, citric acid, red shade #40) (12) | orange sauce (sugar, water, distilled vinegar, soy sauce water, wheat, soybeans, salt , food starch, orange juice concentrate, lactic acid, salt, spices, yeast extract) (9) | orange sauce (sugar, water, high fructose corn syrup, soy sauce water, soybeans, salt, wheat flour, sodium benzoate preservative , orange juice concentrate, modified cornstarch (4) | orange sauce (water, sugar, tamari water, soybeans, salt , rice vinegar, orange juice concentrate, corn starch, mirin water, mirin rice, alcohol, salt, enzyme, koji , sugar, lactic acid , canola oil, salt, garlic powder, guar gum, natural flavor, spices) (1) | orange sauce (sugar, water, high fructose corn syrup, soy sauce water, soybeans, salt, wheat flour, sodium benzoate , orange juice concentrate, modified cornstarch (1)",usda_only_train:16 | usda_only_val:9 | usda_only_holdout:2,,
1780,creamy avocado dressing,creamy avocado dressing,25,no,egg | soy,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:egg | allergen:soy | evidence:surface_form | review:product_style | review:surface_form_composite,"creamy avocado dressing (soybean oil and/or canola oil, water, guacamole avocados, dehydrated onion, white vinegar, salt, granulated garlic , cilantro, white wine vinegar, pepita seeds, egg yolk, sugar (24) | creamy avocado dressing (soybean oil and/or canola oil, water, guacamole avocado, dehydrated onion, white vinegar, salt, granulated garlic , cilantro, white wine vinegar, pepita seeds, egg yolk, sugar (1)",usda_only_train:20 | usda_only_holdout:4 | usda_only_val:1,,
1780,sweet and sour sauce,sweet and sour sauce,21,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"sweet and sour sauce (sucrose, water, vinegar, modified food starch, soybean oil, xanthan gum, sodium benzoate preservative , salt, red #40, fd and c yellow #6, fd and c yellow #5) (6) | sweet and sour sauce (unsweetened pineapple juice, sugar, distilled white vinegar, tomato paste, tamari soy sauce water, soybeans, salt, sugar , pineapple juice concentrate, modified corn starch, salt, extractives of paprika (5) | sweet and sour sauce (water, sugar, apricot puree concentrate, soy sauce water, wheat, soybeans, salt, lactic acid, less than 0.1% sodium benzoate as a preservative , modified food starch (5) | sweet and sour sauce (water, sugar, pineapple juice concentrate, rice vinegar, modified corn starch, soy sauce water, soybeans, wheat, salt, alcohol, vinegar, lactic acid , salt, tomato paste, garlic, cooking wine white wine, natural flavor, salt , ginger, canola oil, chili paste red chili peppers, distilled vinegar, salt ) (3) | sweet and sour sauce (water, high fructose corn syrup, brown sugar, distilled vinegar, food starch-modified, pineapple juice concentrate (2)",usda_only_train:12 | usda_only_holdout:6 | usda_only_val:3,,
1780,vanilla cake,vanilla cake,19,no,soy | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"vanilla cake (sugar, enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , food starch-modified, soybean oil,) (10) | vanilla cake (sugar, enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , food starch-modified, soybean oil (4) | vanilla cake (sugar, enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid) (2) | vanilla cake (sugar, enriched wheat flour bleached (flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid food starch-modified, soybean oil, benzodihydropyrone fcc, invert sugar), natural and artificial flavors and colors (water. corn syrup, glycerin, high fructose corn syrup, sugar, sorbitol fd and c red 3, modified food starch, fd and c yellow 5, carrageenan gum, agar gum, sodium benzoate (2) | vanilla cake (sugar, enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , food starch-modified, soybean oil,glycol mono- and diesters of fatty acids, salt, sodium stearoyl lactylate, vital wheat gluten, whey.) (1)",usda_only_train:12 | usda_only_holdout:4 | usda_only_val:3,,
1780,21 whole grains and seeds mix,21 whole grains and seeds mix,18,no,sesame | wheat,Vegan | Vegetarian | Pescatarian,Gluten-free,allergen:sesame | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"organic 21 whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic brown sesame seeds, organic triticale, organic rolled barley, organic rolled oats, organic pumpkin seeds, organic rolled rye, organic black sesame seeds, organic millet, organic rolled spelt, organic yellow cornmeal, organic kamutkhorasan wheat, organic quinoa, organic poppy seeds, organic buckwheat flour, organic brown rice flour, organic blue cornmeal, organic amaranth flour, organic sorghum flour) (7) | organic 21 whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic brown sesame seeds, organic triticale, organic rolled barley, organic rolled oats, organic pumpkin seeds, organic rolled rye, organic black sesame seeds, organic millet, organic rolled spelt, organic yellow cornmeal, organic kamut khorasan wheat, organic quinoa organic poppy seeds, organic buckwheat flour, organic brown rice flour, organic blue cornmeal, organic amaranth flour, organic sorghum flour) (4) | organic 21 whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic brown sesame seeds, organic triticale, organic rolled barley, organic rolled oats, organic pumpkin seeds, organic rolled rye, organic black sesame seeds, organic millet, organic rolled spelt, organic yellow cornmeal, organic kamut khorasan wheat, organic quinoa, organic poppy seeds, organic buckwheat flour, organic brown rice flour, organic blue cornmeal, organic amaranth flour, organic sorghum flour) (3) | organic 21 whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic brown sesame seeds, organic triticale, organic rolled barley, organic rolled oats, organic pumpkin seeds, organic rolled rye, organic black sesame seeds, organic millet, organic rolled spelt, organic yellow cornmeal, organic kamut khorasan wheat, organic quinoa, organic poppy seeds, organic buckwheat flour, organic brown rice flour, organic blue cornmeal organic amaranth flour, organic sorghum flour) (2) | organic 21 whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic ground whole flax seeds, organic brown sesame seeds, organic triticale, organic pumpkin seeds, organic rolled barley, organic rolled oats, organic rolled rye, organic black sesame seeds, organic blue cornmeal, organic millet, organic rolled spelt, organic brown rice flour, organic amaranth flour, organic yellow cornmeal, organic kamut® khorasan wheat, organic quinoa, organic buckwheat flour, organic sorghum flour, organic poppy seeds) (1)",usda_only_train:12 | usda_only_val:2 | usda_only_holdout:2 | openfoodfacts_targeted:2,,
